,section_id,s_node,e_node,length
10919,117709108,1325569842,1325569816,2
10920,117709109,1325569873,1325569906,36
10921,117709113,1325569717,1325569901,2
10922,117713324,1325598376,1325598423,2
10923,117713325,1325598377,1325598375,5
10924,117713326,605943187,1532469744,16
10925,117713327,1325598415,1325598416,4
10926,117713328,1325598417,1325598386,2
10927,117713329,1325598390,1325598394,8
10928,117713330,1410708900,1325598396,6
10929,117713332,1325598447,1767284883,5
10930,117713333,1325598407,1325598402,3
10931,117957163,1327769569,1327769661,3
10932,117957164,1327769587,1327769591,5
10933,117957165,1327769707,1327769679,11
10934,117957166,1327769798,1327769528,5
10935,117957167,1327769819,1411178955,3
10936,117957168,1327769810,1327769725,3
10937,117957169,1327769537,1327769932,6
10938,117957170,1327769654,1327769851,2
10939,117957172,1327769622,1327769970,2
10940,117957173,1327769683,1327769623,2
10941,117957174,1327769809,1327769983,3
10942,117957175,1327769711,1327769820,19
10943,117957178,1327769633,1327769551,2
10944,117957179,1327769822,534248454,5
10945,117957180,534251761,1327769970,9
10946,117957181,1327769792,1327769658,9
10947,117957182,1327769844,1327769646,7
10948,117957183,1327769575,1327769784,8
10949,117957185,1327769863,1327769665,4
10950,117957187,1327769580,1327769700,13
10951,117957188,1327769670,1327769576,2
